RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
62907,8596,13032,Zip,NY,NY,Lenox,Syracuse,Madison County,144499
98301,8598,95605,Zip,CA,CA,West Sacramento,Sacramento--Roseville--Arden-Arcade,Yolo County,400759
76967,8599,44054,Zip,OH,OH,Sheffield Lake,Cleveland-Elyria,Lorain County,172354
69767,8599,28204,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,523069
58429,8601,1569,Zip,MA,MA,Uxbridge,Worcester,Worcester County,428377
83996,8601,59301,Zip,MT,MT,Miles City,,Custer County,198089
65820,8603,19153,Zip,PA,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,219156
63014,8603,13207,Zip,NY,NY,Syracuse,Syracuse,Onondaga County,122451
59453,8605,4345,Zip,ME,ME,Gardiner,Augusta-Waterville,Kennebec County,244603
72816,8605,33776,Zip,FL,FL,Seminole,Tampa-St. Petersburg-Clearwater,Pinellas County,443570
75699,8607,40484,Zip,KY,KY,Stanford,Danville,Lincoln County,
92713,8607,78853,Zip,TX,TX,Eagle Pass,Eagle Pass,Maverick County,123517
81744,8609,54521,Zip,WI,WI,Eagle River,,Vilas County,235560
73690,8610,36022,Zip,AL,AL,Deatsville,Montgomery,Elmore County,228186
78720,8611,47670,Zip,IN,IN,Princeton,,Gibson County,123699
78186,8611,46567,Zip,IN,IN,Syracuse,Warsaw,Kosciusko County,300104
61833,8611,10520,Zip,NY,NY,Croton-on-Hudson,New York-Newark-Jersey City,Westchester County,667380
399560,8614,25405,Zip,WV,WV,Martinsburg,Hagerstown-Martinsburg,Berkeley County,242323
75918,8614,41094,Zip,KY,KY,Walton,Cincinnati,Boone County,270989
99885,8616,98579,Zip,WA,WA,Rochester,Olympia-Tumwater,Thurston County,454909
72635,8616,33478,Zip,FL,FL,Jupiter,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,612987
64601,8618,16428,Zip,PA,PA,North East Township,Erie,Erie County,200958
93843,8618,81650,Zip,CO,CO,Rifle,Glenwood Springs,Garfield County,383794
62480,8620,12210,Zip,NY,NY,Albany,Albany-Schenectady-Troy,Albany County,201814
58726,8621,2339,Zip,MA,MA,Hanover,Boston-Cambridge-Newton,Plymouth County,683241
91973,8622,77484,Zip,TX,TX,Waller,Houston-The Woodlands-Sugar Land,Waller County,
84228,8623,59860,Zip,MT,MT,Polson,,Lake County,383764
96775,8624,92274,Zip,CA,CA,Thermal,El Centro,Imperial County,213312
87028,8625,66002,Zip,KS,KS,Atchison,Atchison,Atchison County,
78953,8625,48079,Zip,MI,MI,Saint Clair,Detroit-Warren-Dearborn,Saint Clair County,271641
76767,8627,43608,Zip,OH,OH,Toledo,Toledo,Lucas County,35335
90955,8628,75494,Zip,TX,TX,Winnsboro,,Wood County,158126
